File ,Median Energy ,Total Integral,Total Correlations (ms),Total Correlations (mks),Total
sorted_6mg8u01,134.2,14890,,,0
sorted_6mg8u02,133.3,22540,,,0
sorted_6mg8u03,133.9,347240,,,0
sorted_6mg8u04,133.5,350020,,,0
sorted_6mg8u05,133.2,48920,,,0
sorted_6mg8u06,134.5,47240,,,0
sorted_6mg8u07,134.3,24110,,,0
sorted_6mg8u08,134.3,110600,,,0
sorted_6mg8u09,134.5,20870,,,0
sorted_6mg8u10,137.5,207240,1,,1
sorted_6mg8u11,137.6,426460,1,,1
sorted_6mg8u12,137.5,263060,,,0
sorted_6mg8u13,137.5,79830,0,1,1
sorted_6mg8u14,137.4,26200,,,0
sorted_6mg8u15,137.3,100290,,,0
sorted_6mg8u16,137.4,406310,1,,1
sorted_6mg8u17,137.6,148210,,,0
sorted_6mg8u18,137.8,58490,,,0
sorted_6mg8u19,137.2,200300,1,,1
sorted_6mg8u20,137.3,348050,2,,2
sorted_6mg8u21,137.5,8590,,,0
sorted_6mg8u22,136.9,98390,,,0
sorted_6mg8u23,137.4,430010,0,1,1
sorted_6mg8u24,137.6,80050,,,0
sorted_6mg8u25,136.9,90050,,,0
sorted_6mg8u26,136.1,20860,,,0
sorted_6mg8u27,136.5,55300,,,0
sorted_6mg8u28,136.4,199960,,,0
sorted_6mg8u29,136.2,133150,,,0
sorted_6mg8u30,136.6,72660,,,0
sorted_6mg8u31,138.6,30360,,,0
sorted_6mg8u32,139.0,39280,,,0
sorted_6mg8u33,138.8,76790,,,0
sorted_6mg8u34,138.7,532780,1,1,2
sorted_6mg8u35,139.1,200020,,,0
sorted_6mg8u36,138.3,73630,,,0
sorted_6mg8u37,137.5,148070,1,,1
sorted_6mg8u38,137.1,384920,2,,2
sorted_6mg8u39,137.3,32330,,,0
sorted_6mg8u40,137.3,382030,2,,2
sorted_6mg8u41,136.6,553030,1,1,2
sorted_6mg8u42,137.1,21200,,,0
sorted_6mg8u43,137.0,99750,1,,1
sorted_6mg8u44,137.3,140040,,,0
sorted_6mg8u45,137.4,48660,,,0
sorted_6mg8u46,136.7,485740,,,0
sorted_6mg8u47,137.3,112750,,,0
sorted_6mg8u48,137.7,95810,,,0
sorted_6mg8u49,137.2,61690,,,0
sorted_6mg8u50,136.7,101180,0,1,1
sorted_6mg8u51,135.9,505720,0,1,1
sorted_6mg8u52,135.1,52940,,,0
sorted_6mg8u53,137.3,70100,,,0
sorted_6mg8u54,136.7,145550,,,0
sorted_6mg8u55,137.2,330030,1,,1
sorted_6mg8u56,137.4,332110,1,,1
sorted_6mg8u57,137.3,200080,,,0
sorted_6mg8u58,137.3,219910,1,,1
sorted_6mg8u59,137.3,654220,1,1,2
sorted_6mg8u60,137.3,130520,1,,1
sorted_6mg8u61,135.1,157200,,,0
sorted_6mg8u62,135.3,161320,1,1,2
sorted_6mg8u63,135.2,634030,0,2,2
sorted_6mg8u64,134.9,9700,,,0
sorted_6mg8u65,135.6,203020,,,0
sorted_6mg8u66,137.5,112020,,,0
sorted_6mg8u67,137.4,92590,,,0
sorted_6mg8u68,137.2,517180,3,,3
sorted_6mg8u69,137.5,258980,1,1,2
sorted_6mg8u70,137.4,86160,,,0
sorted_6mg8u71,137.4,461030,,,0
sorted_6mg8u72,136.8,23690,,,0
sorted_6mg8u73,137.1,121620,1,,1
sorted_6mg8u74,137.3,350110,3,,3
sorted_6mg8u75,137.7,64500,,,0
sorted_6mg8u76,137.4,101670,,,0
sorted_6mg8u77,137.3,62530,,,0
sorted_6mg8u78,137.2,195660,,,0
sorted_6mg8u79,137.0,366270,1,,1
sorted_6mg8u80,136.8,20080,1,,1
sorted_6mg8u81,137.1,206590,,,0
sorted_6mg8u82,137.5,170780,,,0
sorted_6mg8u83,137.4,250020,1,,1
sorted_6mg8u84,136.9,95050,,,0
sorted_6mg8u85,137.1,432380,1,,1
sorted_6mg8u86,136.7,168780,2,,2
sorted_6mg8u87,137.3,313670,2,,2
sorted_6mg8u88,137.4,528030,1,,1
sorted_6mg8u89,137.4,49750,,,0
sorted_6mg8u90,137.5,115040,,,0
sorted_6mg8u91,137.6,73620,,,0
sorted_6mg8u92,137.7,630780,2,,2
sorted_6mg8u93,137.7,145580,,,0
sorted_6mg8u94,137.4,190250,,,0
sorted_6mg8u95,137.3,490050,2,,2
sorted_6mg8u96,137.2,126220,,,0
sorted_6mg8u97,137.2,58690,,,0
sorted_6mg8u98,137.2,250100,2,,2
sorted_6mg8u99,137.2,84120,,,0
sorted_6mg8u100,137.4,229050,2,,2
sorted_6mg8u101,137.8,70940,,,0
sorted_6mg8u102,137.5,600040,1,1,2
sorted_6mg8u103,137.8,117710,,,0
sorted_6mg8u104,137.6,126360,,,0
sorted_6mg8u105,137.5,118450,1,1,2
sorted_6mg8u106,137.3,181150,,,0
sorted_6mg8u107,137.2,311060,,,0
sorted_6mg8u108,137.3,34470,,,0
sorted_6mg8u109,137.4,480,,,0
sorted_6mg8u110,137.7,300580,,,0
sorted_6mg8u111,134.6,128730,,,0
sorted_6mg8u112,137.2,138530,,,0
sorted_6mg8u113,137,444990,1,,1
sorted_6mg8u114,137.1,108150,1,,1
sorted_6mg8u115,137.2,121050,,,0
sorted_6mg8u116,137.7,87010,,,0
sorted_6mg8u117,137.3,45510,,,0
sorted_6mg8u118,137.4,655350,1,,1
sorted_6mg8u119,137.1,36880,1,,1
sorted_6mg8u120,137.2,170060,,,0
sorted_6mg8u121,137.3,451670,2,,2
sorted_6mg8u122,137.4,132250,,,0
sorted_6mg8u123,137.3,476460,1,1,2
sorted_6mg8u124,137.6,6400,,,0
sorted_26mg238u_002,134.7,16380,,,0
sorted_26mg238u_003,135.3,14210,,,0
sorted_26mg238u_004,135.0,36530,,,0
sorted_26mg238u_005,134.6,152010,,,1
sorted_26mg238u_005_1,136.2,170,,,0
sorted_26mg238u_006,134.3,88600,,,0
sorted_26mg238u_007,134.6,510050,,,1
sorted_26mg238u_008,134.4,14500,,,0
sorted_26mg238u_009,134.6,31110,,,0
sorted_26mg238u_010,133.5,17010,,,0
sorted_26mg238u_011,133.8,20550,,,0
sorted_26mg238u_012,133.5,30960,,,0
sorted_26mg238u_013,133.3,15030,,,0
sorted_26mg238u_014,133.1,143840,,,1
sorted_26mg238u_015,133.1,7540,,,0
sorted_26mg238u_016,133.4,210640,,,0
sorted_26mg238u017,133.3,143980,,,1
sorted_26mg238u018,133.4,183080,,,0
sorted_26mg238u019,133.1,240070,,,0
sorted_26mg238u020,133.6,399980,,,0
sorted_26mg238u021,133.8,204020,,,1
